iteration,time_namelookup,time_connect,time_starttransfer,time_total,size_download,http_code,perf_id
1,0.000043,0.001482,3.833546,3.844733,38273,200,3d4efe89-fe0f-498b-8daf-c2c6ada9d39b
2,0.000067,0.002785,3.072807,3.081708,38273,200,70dde850-3fc5-4c48-9aaf-58031de165c3
3,0.000053,0.001358,2.799935,2.808944,38273,200,f7d01f34-3d34-4d9d-a090-2b383ac3f7cb
4,0.000068,0.002070,3.139770,3.152062,38273,200,35fd3a63-774d-4333-ada3-1a5d8dd1ddd3
5,0.000062,0.002174,2.890512,2.900550,38273,200,d063b152-4d59-4d9f-87e6-e769f47b1dc5
6,0.000077,0.002395,3.019237,3.032246,38273,200,d7ee617a-6ced-492e-b391-d9b5418304c7
7,0.000046,0.001750,3.282363,3.293442,38273,200,d65c45c8-a98c-4024-914c-31e63d9a4bd6
8,0.000058,0.001983,3.098308,3.108555,38273,200,159dcecb-25ef-48c5-a305-b4bae389456c
9,0.000066,0.001630,2.614330,2.626126,38273,200,23b54757-6cc4-4400-b3b8-c5aff49ed73b
10,0.000056,0.001594,2.743653,2.753130,38273,200,1db3fdfc-2bd8-4e36-99a2-6e4467c242bd
