iteration,time_namelookup,time_connect,time_starttransfer,time_total,size_download,http_code,perf_id
1,0.000051,0.002204,3.114101,3.124305,30339,200,947c96b5-a020-454d-9692-fad57c040913
2,0.000084,0.002286,3.147087,3.155036,30339,200,b7ef2af8-13e2-446a-be49-f6d704ba1998
3,0.000067,0.001927,6.670670,6.693789,30339,200,76063605-07b9-451e-9b44-b7c7901f311d
4,0.000068,0.001915,2.997276,3.008089,30339,200,e53060e1-eb16-4e3e-a7cd-82e37681e84c
5,0.000078,0.004464,3.049646,3.059432,30339,200,01022064-4207-4b9c-bf1d-d115e27ccd1b
6,0.000076,0.002156,3.050828,3.061479,30339,200,f5b4ae19-d40b-4538-aa8c-a725ee85cd94
7,0.000067,0.001904,2.935719,2.946393,30339,200,9e3cf06c-4604-4441-b8de-ebf54f7b19d8
8,0.000056,0.001918,2.869372,2.877275,30339,200,2c3ad2e4-fbdf-4d3d-b2a7-679dda94c3b9
9,0.000073,0.001637,2.971046,2.984502,30339,200,ee4f7837-f7ed-4fe6-8d04-259e8eb681af
10,0.000094,0.002431,3.211238,3.219685,30339,200,f51cbbb0-ec13-4032-b1ef-97aa19a5141a
