iteration,time_namelookup,time_connect,time_starttransfer,time_total,size_download,http_code,perf_id
1,0.000075,0.002046,4.812793,4.822847,30251,200,bcce20f1-9f0f-4f4d-9a0d-2e1346da3c30
2,0.000080,0.002699,3.837302,3.847402,30251,200,bb828dce-2c37-402b-9fed-b39f7d81db46
3,0.000112,0.001752,2.749780,2.756534,30251,200,bafa0f6f-37d7-4e6e-a4e3-298753927e6c
4,0.000069,0.001833,2.541871,2.551032,30251,200,97fc6ae0-6110-4e9d-ac23-03d574daedd5
5,0.000074,0.001954,2.588184,2.595410,30251,200,232801d0-e9d7-4868-9b3f-0b68b51de3d2
6,0.000047,0.001578,2.695800,2.707124,30251,200,8ef855bd-d2dc-4eac-8d7a-cd3a21ad7ead
7,0.000048,0.001300,2.505343,2.514608,30251,200,6b1aa362-3d35-4b85-bb85-2c5fff30fffa
8,0.000048,0.001283,2.360741,2.367716,30251,200,69c8ed7c-efdf-4f2c-b063-ae1c040785e0
9,0.000045,0.019111,2.557963,2.564870,30251,200,5185dc7a-2acf-4532-b40c-9af7f808a8b2
10,0.000059,0.001451,1.974262,1.981352,30251,200,cad01416-fda9-4f98-b904-fb4bc35e8a06
