iteration,time_namelookup,time_connect,time_starttransfer,time_total,size_download,http_code,perf_id
1,0.000051,0.001403,2.922046,2.931760,29,200,3aaa8ddc-6b71-4d4e-9953-954e29c245ba
2,0.000044,0.001362,2.186161,2.196570,29,200,47193e7c-eac5-44f3-a9a2-df7b947ebf73
3,0.000058,0.001592,2.158970,2.169636,29,200,4a4aca89-c3a5-4154-9653-aeb55385aa3d
4,0.000053,0.001572,2.156757,2.165437,29,200,816e855c-ac6b-426e-9a10-4ceba75c404f
5,0.000058,0.001959,2.040038,2.051351,29,200,ffe3fe73-2bb3-4c60-90b1-badeb60e4b6c
6,0.000043,0.001314,0.213538,0.215265,29,200,42e61cde-493d-47cb-bd1e-a3e368da4a64
7,0.000047,0.001736,2.161219,2.171740,29,200,b59db697-89b3-47a4-b9c8-71e2fed39fb7
8,0.000045,0.001592,2.394427,2.405670,29,200,88b20ab3-5e49-46f6-9dc3-3f3dfc2bbdd8
9,0.000036,0.001397,0.218272,0.220456,29,200,d1585966-e977-47a5-a8b1-100b9a91fffa
10,0.000043,0.001527,2.057635,2.068131,29,200,cd73fd5b-7f3e-47dc-b301-a4a86fb6d5b7
