iteration,time_namelookup,time_connect,time_starttransfer,time_total,size_download,http_code,perf_id
1,0.000041,0.001170,5.106893,5.130612,29,200,10f9ef09-e6b9-44ff-ba1e-dfa30e954a65
2,0.000064,0.001392,2.298258,2.314406,29,200,41be2bdd-4e57-4e5d-9ddb-9cfa8885d23b
3,0.000055,0.001420,2.026950,2.038869,29,200,81194b90-d68a-4326-823b-7d876c0bb3ce
4,0.000059,0.001722,2.139354,2.151873,29,200,84e21000-1350-40f2-bc7d-d485877667f4
5,0.000037,0.001144,0.214257,0.216307,29,200,9f02521a-197c-42e9-949c-f5074757a444
6,0.000047,0.001653,2.054996,2.064613,29,200,74f4855d-eb37-4385-9cc5-5fa1aa9d7ad7
7,0.000052,0.001336,2.136119,2.144405,29,200,fb092c32-b6ac-4857-88f7-17c3ad5e208a
8,0.000036,0.001091,2.031839,2.042693,29,200,5a434869-6262-436b-818e-4a0525a01b32
9,0.000052,0.001562,0.178302,0.179348,29,200,40857b7c-9a45-44d4-88e1-f7158ae7a3da
10,0.000071,0.001969,2.634380,2.645343,29,200,74eaa7c1-2879-4cf6-bc88-899ade63e78c
